"theMonth","theWeek","theDay","theYear","total","JapanCount","MexicoCount","LebanonCount","BeirutCount","ParisCount"
11,45,11,2015,100560,0,17,0,0,0
11,45,12,2015,17221,0,1,0,0,0
11,45,13,2015,25345,17523,16512,16035,12916,18143
11,45,14,2015,53919,37365,33131,32257,23466,42661
11,46,15,2015,1929,740,594,717,495,1093
11,46,16,2015,739,176,137,162,143,376
11,46,17,2015,382,66,53,56,49,159
11,46,18,2015,406,49,43,52,28,186
11,46,19,2015,162,20,13,11,16,54
11,46,20,2015,137,49,43,46,45,86
11,46,21,2015,146,12,12,9,6,90
11,47,22,2015,75,4,3,4,1,30
11,47,23,2015,100,8,5,9,4,17
11,47,24,2015,67,3,2,6,3,13
11,47,25,2015,27,2,3,6,2,6
11,47,26,2015,78,3,1,3,0,8
11,47,27,2015,53,5,4,3,5,7
11,47,28,2015,36,6,4,3,3,8
11,48,29,2015,43,0,0,0,0,4
11,48,30,2015,28,2,1,2,1,9
12,48,1,2015,13,0,3,2,1,5
12,48,2,2015,21,3,5,5,3,7
12,48,3,2015,41,1,2,1,0,15
12,48,4,2015,12,2,2,0,1,3
12,48,5,2015,10,0,0,0,0,0
12,49,6,2015,1,0,0,0,0,0
12,49,7,2015,10,1,1,1,0,1
12,49,8,2015,8,0,0,0,0,1
12,49,9,2015,4,1,0,0,0,2
12,49,10,2015,5,0,0,0,0,1
12,49,11,2015,4,0,0,0,0,2
12,49,12,2015,6,4,4,2,4,4
12,50,13,2015,4,2,0,0,0,2
12,50,14,2015,3,1,1,2,0,2
12,50,15,2015,6,0,0,0,0,1
12,50,16,2015,9,2,3,0,2,3
12,50,17,2015,4,0,0,0,0,0
12,50,18,2015,3,0,0,0,0,1
12,50,19,2015,1,0,0,0,0,0
12,51,20,2015,3,0,0,0,0,1
12,51,21,2015,3,0,0,0,0,0
12,51,22,2015,1,1,0,0,1,1
12,51,23,2015,1,0,0,0,0,1
12,51,24,2015,2,0,0,0,0,0
12,51,25,2015,3,0,0,0,0,0
12,51,26,2015,4,1,1,1,1,1
12,52,27,2015,2,0,0,0,0,0
12,52,28,2015,2,0,0,0,0,1
12,52,29,2015,16,13,0,13,0,0
12,52,30,2015,5,0,0,0,0,0
12,52,31,2015,2,0,0,0,0,1
1,0,1,2016,2,0,0,0,0,0
1,0,2,2016,3,0,0,0,0,0
1,1,3,2016,2,0,0,0,0,0
1,1,4,2016,2,0,1,0,0,0
1,1,5,2016,3,1,1,0,1,2
1,1,7,2016,3,0,0,0,0,0
1,1,8,2016,3,0,0,0,0,0
1,1,9,2016,5,0,0,0,0,0
1,2,10,2016,1,0,0,0,0,0
1,2,11,2016,1,0,0,0,0,0
1,2,13,2016,2,0,0,0,0,0
1,2,14,2016,2,0,0,0,0,0
1,2,16,2016,2,1,1,1,1,1
1,3,17,2016,1,0,0,0,0,0
1,3,18,2016,2,0,0,0,0,1
1,3,19,2016,3,0,0,0,0,0
1,3,20,2016,9,1,1,1,1,1
1,3,21,2016,1,0,0,0,0,0
1,3,22,2016,6,0,0,0,0,0
1,3,23,2016,1,0,0,0,0,0
1,4,25,2016,1,1,1,1,1,1
1,4,26,2016,14,0,0,0,0,0
1,4,27,2016,5,3,3,3,3,3
1,4,29,2016,1,0,0,0,0,0
1,4,30,2016,4,1,1,0,1,1
1,5,31,2016,7,0,0,0,0,0
2,5,2,2016,1,0,0,0,0,0
2,6,10,2016,2,0,0,0,0,0
2,6,11,2016,2,0,0,0,0,0
2,7,15,2016,6,0,0,0,0,0
2,7,17,2016,7,0,0,0,0,0
2,7,18,2016,1,0,0,0,0,0
2,7,20,2016,2,0,0,0,0,0
2,9,29,2016,2,0,0,0,0,0
3,9,1,2016,2,1,0,1,1,1
3,9,2,2016,1,1,0,1,1,1
3,9,3,2016,2,2,0,2,2,2
3,9,4,2016,2,2,0,2,2,2
3,9,5,2016,2,2,0,2,2,2
3,10,6,2016,1,0,0,0,0,0
3,10,7,2016,1,0,0,0,0,0
3,10,8,2016,2,1,0,1,1,1
3,10,9,2016,1,1,0,1,1,1
3,10,10,2016,3,2,0,2,2,2
3,10,12,2016,2,1,1,1,1,1
3,11,13,2016,9,8,0,8,8,8
3,11,14,2016,1,1,0,1,1,1
3,11,15,2016,1,1,0,1,1,1
3,11,16,2016,7,5,0,5,5,5
3,11,17,2016,1,1,0,1,1,1
3,11,18,2016,3,3,0,3,3,3
3,12,25,2016,1,0,0,0,0,1
3,12,26,2016,1,1,0,0,1,1
3,13,31,2016,1,0,0,0,0,0
4,13,1,2016,2,0,0,0,0,0
4,13,2,2016,2,0,0,0,0,0
4,14,5,2016,3,0,0,0,0,2
4,14,6,2016,2,0,0,0,0,2
4,15,11,2016,1,0,0,0,0,0
4,15,15,2016,1,0,0,0,0,0
4,16,20,2016,2,0,0,0,0,0
